missingType.return	102	C:/Users/Kardansoft/Desktop/job-kimi/app/Http/Controllers/Api/Admin/SiteErrorAdminController.php	Method App\Http\Controllers\Api\Admin\SiteErrorAdminController::filteredQuery() has no return type specified.
property.notFound	42	C:/Users/Kardansoft/Desktop/job-kimi/app/Http/Controllers/Api/BlogPostController.php	Access to an undefined property App\Models\BlogPost::$catalog_exams.
property.notFound	43	C:/Users/Kardansoft/Desktop/job-kimi/app/Http/Controllers/Api/BlogPostController.php	Access to an undefined property App\Models\BlogPost::$catalog_pdfs.
method.nonObject	44	C:/Users/Kardansoft/Desktop/job-kimi/app/Http/Controllers/Api/DashboardController.php	Cannot call method gte() on string.
argument.type	67	C:/Users/Kardansoft/Desktop/job-kimi/app/Http/Controllers/Api/DashboardController.php	Parameter #1 $callback of method Illuminate\Database\Eloquent\Collection<(int|string),Illuminate\Database\Eloquent\Model>::map() expects callable(Illuminate\Database\Eloquent\Model, int|string): array<string, mixed>, Closure(App\Models\ExamAttempt): array<string, mixed> given.
property.notFound	96	C:/Users/Kardansoft/Desktop/job-kimi/app/Http/Controllers/Api/ExamAttemptController.php	Access to an undefined property Illuminate\Database\Eloquent\Model::$total_questions.
property.notFound	97	C:/Users/Kardansoft/Desktop/job-kimi/app/Http/Controllers/Api/ExamAttemptController.php	Access to an undefined property Illuminate\Database\Eloquent\Model::$is_random.
method.nonObject	225	C:/Users/Kardansoft/Desktop/job-kimi/app/Http/Controllers/Api/ExamAttemptController.php	Cannot call method copy() on string.
method.nonObject	276	C:/Users/Kardansoft/Desktop/job-kimi/app/Http/Controllers/Api/ExamAttemptController.php	Cannot call method copy() on string.
method.nonObject	100	C:/Users/Kardansoft/Desktop/job-kimi/app/Http/Controllers/Api/ExamController.php	Cannot call method copy() on string.
method.nonObject	103	C:/Users/Kardansoft/Desktop/job-kimi/app/Http/Controllers/Api/ExamController.php	Cannot call method toIso8601String() on string.
missingType.iterableValue	78	C:/Users/Kardansoft/Desktop/job-kimi/app/Http/Controllers/Api/GeneratedContentPublicController.php	Method App\Http\Controllers\Api\GeneratedContentPublicController::serialize() return type has no value type specified in iterable type array.
property.nonObject	85	C:/Users/Kardansoft/Desktop/job-kimi/app/Http/Controllers/Api/GeneratedContentPublicController.php	Cannot access property $value on string.
nullsafe.neverNull	85	C:/Users/Kardansoft/Desktop/job-kimi/app/Http/Controllers/Api/GeneratedContentPublicController.php	Using nullsafe property access "?->value" on left side of ?? is unnecessary. Use -> instead.
method.nonObject	86	C:/Users/Kardansoft/Desktop/job-kimi/app/Http/Controllers/Api/GeneratedContentPublicController.php	Cannot call method label() on string.
method.nonObject	87	C:/Users/Kardansoft/Desktop/job-kimi/app/Http/Controllers/Api/GeneratedContentPublicController.php	Cannot call method toIso8601String() on string.
property.notFound	90	C:/Users/Kardansoft/Desktop/job-kimi/app/Http/Controllers/Api/GeneratedContentPublicController.php	Access to an undefined property Illuminate\Database\Eloquent\Model::$title.
property.notFound	91	C:/Users/Kardansoft/Desktop/job-kimi/app/Http/Controllers/Api/GeneratedContentPublicController.php	Access to an undefined property Illuminate\Database\Eloquent\Model::$company_name.
property.notFound	92	C:/Users/Kardansoft/Desktop/job-kimi/app/Http/Controllers/Api/GeneratedContentPublicController.php	Access to an undefined property Illuminate\Database\Eloquent\Model::$source.
property.notFound	97	C:/Users/Kardansoft/Desktop/job-kimi/app/Http/Controllers/Api/GeneratedContentPublicController.php	Access to an undefined property Illuminate\Database\Eloquent\Model::$id.
